sku,title,description,category,material,origin_district,price_rwf,artisan_id,is_local
RW-0078,ankara fabric shirt with Rwandan motifs,Handcrafted ankara fabric shirt adorned with traditional Rwandan geometric motifs.,apparel,ankara-fabric,Nyarugenge,26000,ART-056,True
RW-0269,brass ring geometric,"Geometric brass ring with clean lines, available in multiple sizes.",jewellery,brass,Nyabihu,21500,ART-010,True
RW-0337,recycled glass serving bowl,"Large recycled glass serving bowl glazed with earth-toned colours, food-safe finish.",home-decor,recycled-glass,Huye,7000,ART-050,True
RW-0303,beads ring geometric,"Geometric beads ring with clean lines, available in multiple sizes.",jewellery,beads,Huye,23000,ART-053,True
RW-0125,cow leather sandals Nyamirambo style,"Open-toe cow leather sandals inspired by Nyamirambo street style, hand-cut soles.",leather,cow-leather,Kayonza,10000,ART-074,True
RW-0034,denim skirt with embroidery,Flowing denim skirt with hand-stitched embroidery from local artisans.,apparel,denim,Huye,34500,ART-050,True
RW-0297,wood ring geometric,"Geometric wood ring with clean lines, available in multiple sizes.",jewellery,wood,Rusizi,11000,ART-065,True
RW-0382,clay vase hand-painted,Hand-painted clay vase with motifs depicting Rwandan thousand hills landscape.,home-decor,clay,Nyagatare,11500,ART-078,True
RW-0139,goat leather sandals Nyamirambo style,"Open-toe goat leather sandals inspired by Nyamirambo street style, hand-cut soles.",leather,goat-leather,Nyabihu,6500,ART-071,True
RW-0008,denim shirt with Rwandan motifs,Handcrafted denim shirt adorned with traditional Rwandan geometric motifs.,apparel,denim,Huye,5000,ART-049,True
RW-0090,cow leather handbag artisan,Artisan-made cow leather handbag with hand-stitched seams and brass buckle closure.,leather,cow-leather,Kayonza,33000,ART-038,True
RW-0046,kitenge fabric headwrap igitenge,"Vibrant kitenge fabric headwrap (igitenge) in bold colours, a staple of Rwandan fashion.",apparel,kitenge-fabric,Gasabo,8000,ART-070,True
RW-0002,cotton blazer Kigali style,Modern cotton blazer blending contemporary Kigali fashion with traditional textiles.,apparel,cotton,Bugesera,5500,ART-047,True
RW-0342,ceramic candle holder set,Set of three ceramic candle holders with carved geometric patterns.,home-decor,ceramic,Kicukiro,18000,ART-003,True
RW-0186,sisal fruit bowl,"Elegant sisal fruit bowl woven with natural dyes, a functional art piece for the home.",basketry,sisal,Nyabihu,11000,ART-010,True
RW-0380,bamboo incense burner,Artisan bamboo incense burner with ventilation slots and ash catcher tray.,home-decor,bamboo,Kayonza,10000,ART-005,True
RW-0334,bamboo wall art Imigongo,"Imigongo-style bamboo wall art panel, traditional cow-dung painting technique.",home-decor,bamboo,Nyarugenge,7500,ART-056,True
RW-0023,denim blazer Kigali style,Modern denim blazer blending contemporary Kigali fashion with traditional textiles.,apparel,denim,Nyabihu,11000,ART-071,True
RW-0151,cow leather laptop sleeve,"Protective cow leather laptop sleeve with soft lining, fits up to 15 inches.",leather,cow-leather,Gakenke,53500,ART-061,True
RW-0242,brass cufflinks artisan,"Handmade brass cufflinks with subtle Rwandan motifs, perfect for formal wear.",jewellery,brass,Gasabo,38000,ART-036,True
RW-0017,ankara fabric shirt with Rwandan motifs,Handcrafted ankara fabric shirt adorned with traditional Rwandan geometric motifs.,apparel,ankara-fabric,Huye,39500,ART-050,True
RW-0373,ceramic coasters set of 6,Set of six ceramic coasters with protective felt backing and cultural patterns.,home-decor,ceramic,Kayonza,21500,ART-038,True
RW-0268,cow horn cufflinks artisan,"Handmade cow horn cufflinks with subtle Rwandan motifs, perfect for formal wear.",jewellery,cow-horn,Nyagatare,29000,ART-006,True
RW-0379,banana bark wall art Imigongo,"Imigongo-style banana bark wall art panel, traditional cow-dung painting technique.",home-decor,banana-bark,Gakenke,11000,ART-004,True
RW-0071,denim shirt with Rwandan motifs,Handcrafted denim shirt adorned with traditional Rwandan geometric motifs.,apparel,denim,Ngoma,22500,ART-021,True
RW-0332,ceramic candle holder set,Set of three ceramic candle holders with carved geometric patterns.,home-decor,ceramic,Kayonza,7000,ART-037,True
RW-0397,wood serving bowl,"Large wood serving bowl glazed with earth-toned colours, food-safe finish.",home-decor,wood,Gasabo,3500,ART-064,True
RW-0020,cotton headwrap igitenge,"Vibrant cotton headwrap (igitenge) in bold colours, a staple of Rwandan fashion.",apparel,cotton,Kayonza,23000,ART-080,True
RW-0100,cow leather wallet minimalist,"Slim minimalist cow leather wallet with card slots and coin pocket, hand-finished edges.",leather,cow-leather,Gasabo,10500,ART-036,True
RW-0318,brass bracelet layered,"Layered brass bracelet set with adjustable clasp, great for stacking.",jewellery,brass,Kicukiro,33500,ART-013,True
RW-0272,brass ring geometric,"Geometric brass ring with clean lines, available in multiple sizes.",jewellery,brass,Kicukiro,22000,ART-003,True
RW-0229,raffia fruit bowl,"Elegant raffia fruit bowl woven with natural dyes, a functional art piece for the home.",basketry,raffia,Nyarugenge,28000,ART-030,True
RW-0052,linen trousers tailored,Custom-tailored linen trousers with a comfortable fit and African-inspired details.,apparel,linen,Gasabo,3000,ART-062,True
RW-0218,raffia fruit bowl,"Elegant raffia fruit bowl woven with natural dyes, a functional art piece for the home.",basketry,raffia,Bugesera,34500,ART-047,True
RW-0075,denim shirt with Rwandan motifs,Handcrafted denim shirt adorned with traditional Rwandan geometric motifs.,apparel,denim,Muhanga,5500,ART-073,True
RW-0251,cow horn ring geometric,"Geometric cow horn ring with clean lines, available in multiple sizes.",jewellery,cow-horn,Rusizi,11500,ART-044,True
RW-0110,vegetable tanned leather sandals Nyamirambo style,"Open-toe vegetable tanned leather sandals inspired by Nyamirambo street style, hand-cut soles.",leather,vegetable-tanned-leather,Muhanga,12500,ART-073,True
RW-0040,linen headwrap igitenge,"Vibrant linen headwrap (igitenge) in bold colours, a staple of Rwandan fashion.",apparel,linen,Rwamagana,42000,ART-057,True
RW-0058,cotton trousers tailored,Custom-tailored cotton trousers with a comfortable fit and African-inspired details.,apparel,cotton,Gakenke,39000,ART-076,True
RW-0209,sisal wine bottle holder,"Unique sisal wine bottle holder, a conversation starter and perfect gift.",basketry,sisal,Nyabihu,15000,ART-071,True
RW-0003,kitenge fabric skirt with embroidery,Flowing kitenge fabric skirt with hand-stitched embroidery from local artisans.,apparel,kitenge-fabric,Gicumbi,9500,ART-032,True
RW-0080,silk blazer Kigali style,Modern silk blazer blending contemporary Kigali fashion with traditional textiles.,apparel,silk,Kayonza,37000,ART-079,True
RW-0336,clay vase hand-painted,Hand-painted clay vase with motifs depicting Rwandan thousand hills landscape.,home-decor,clay,Nyabihu,34000,ART-051,True
RW-0092,recycled leather keychain set,"Set of three recycled leather keychains with hand-stamped initials, great as gifts.",leather,recycled-leather,Nyabihu,72500,ART-071,True
RW-0350,ceramic coasters set of 6,Set of six ceramic coasters with protective felt backing and cultural patterns.,home-decor,ceramic,Gakenke,38500,ART-031,True
RW-0308,beads necklace Rwandan design,Statement beads necklace with pendant inspired by traditional Rwandan royal jewellery.,jewellery,beads,Rubavu,43500,ART-075,True
RW-0004,kitenge fabric trousers tailored,Custom-tailored kitenge fabric trousers with a comfortable fit and African-inspired details.,apparel,kitenge-fabric,Kayonza,12500,ART-080,True
RW-0138,Handmade cow leather boots,"Durable handmade cow leather boots crafted by Kigali leatherworkers, built for comfort and longevity.",leather,cow-leather,Nyagatare,35500,ART-078,True
RW-0134,cow leather keychain set,"Set of three cow leather keychains with hand-stamped initials, great as gifts.",leather,cow-leather,Huye,11500,ART-053,True
RW-0021,denim shirt with Rwandan motifs,Handcrafted denim shirt adorned with traditional Rwandan geometric motifs.,apparel,denim,Bugesera,35000,ART-039,True
RW-0366,recycled glass vase hand-painted,Hand-painted recycled glass vase with motifs depicting Rwandan thousand hills landscape.,home-decor,recycled-glass,Nyarugenge,19000,ART-043,True
RW-0192,sisal tray woven,"Flat woven sisal tray, ideal for serving or as a centrepiece, with zigzag pattern.",basketry,sisal,Nyarugenge,22500,ART-072,True
RW-0355,recycled glass vase hand-painted,Hand-painted recycled glass vase with motifs depicting Rwandan thousand hills landscape.,home-decor,recycled-glass,Kirehe,52000,ART-046,True
RW-0171,raffia placemat set of 4,"Set of four raffia placemats with coordinated colour patterns, handwoven.",basketry,raffia,Kayonza,31000,ART-033,True
RW-0351,clay wall art Imigongo,"Imigongo-style clay wall art panel, traditional cow-dung painting technique.",home-decor,clay,Gasabo,35500,ART-011,True
RW-0276,cow horn anklet with charms,cow horn anklet featuring small charms inspired by Lake Kivu waves.,jewellery,cow-horn,Gasabo,26500,ART-011,True
RW-0217,raffia tray woven,"Flat woven raffia tray, ideal for serving or as a centrepiece, with zigzag pattern.",basketry,raffia,Karongi,6000,ART-015,True
RW-0114,vegetable tanned leather keychain set,"Set of three vegetable tanned leather keychains with hand-stamped initials, great as gifts.",leather,vegetable-tanned-leather,Kayonza,9000,ART-038,True
RW-0112,cow leather wallet minimalist,"Slim minimalist cow leather wallet with card slots and coin pocket, hand-finished edges.",leather,cow-leather,Gakenke,27000,ART-031,True
RW-0060,Handwoven ankara fabric scarf,Soft handwoven ankara fabric scarf with intricate patterns inspired by Rwandan hill landscapes.,apparel,ankara-fabric,Rutsiro,14500,ART-060,True
RW-0340,ceramic photo frame,"Rustic ceramic photo frame with hand-carved border, fits 5×7 inch photo.",home-decor,ceramic,Gakenke,46500,ART-061,True
RW-0302,wood earrings drop style,"Elegant drop-style wood earrings, lightweight and handcrafted.",jewellery,wood,Bugesera,25000,ART-047,True
RW-0001,Handwoven linen scarf,Soft handwoven linen scarf with intricate patterns inspired by Rwandan hill landscapes.,apparel,linen,Nyarugenge,11000,ART-056,True
RW-0290,wood necklace Rwandan design,Statement wood necklace with pendant inspired by traditional Rwandan royal jewellery.,jewellery,wood,Kirehe,33500,ART-046,True
RW-0400,ceramic candle holder set,Set of three ceramic candle holders with carved geometric patterns.,home-decor,ceramic,Rwamagana,27000,ART-040,True
RW-0061,cotton blazer Kigali style,Modern cotton blazer blending contemporary Kigali fashion with traditional textiles.,apparel,cotton,Huye,23500,ART-049,True
RW-0043,silk blazer Kigali style,Modern silk blazer blending contemporary Kigali fashion with traditional textiles.,apparel,silk,Nyabihu,34000,ART-067,True
RW-0206,sweetgrass placemat set of 4,"Set of four sweetgrass placemats with coordinated colour patterns, handwoven.",basketry,sweetgrass,Nyagatare,3000,ART-077,True
RW-0013,denim trousers tailored,Custom-tailored denim trousers with a comfortable fit and African-inspired details.,apparel,denim,Rubavu,24000,ART-069,True
RW-0193,papyrus storage basket large,"Large papyrus storage basket with lid, handwoven by women's cooperative artisans.",basketry,papyrus,Nyamasheke,31500,ART-009,True
RW-0030,linen headwrap igitenge,"Vibrant linen headwrap (igitenge) in bold colours, a staple of Rwandan fashion.",apparel,linen,Nyamasheke,18000,ART-012,True
RW-0119,Handmade cow leather boots,"Durable handmade cow leather boots crafted by Kigali leatherworkers, built for comfort and longevity.",leather,cow-leather,Musanze,44000,ART-022,True
RW-0357,banana bark candle holder set,Set of three banana bark candle holders with carved geometric patterns.,home-decor,banana-bark,Rubavu,49000,ART-075,True
RW-0170,sisal fruit bowl,"Elegant sisal fruit bowl woven with natural dyes, a functional art piece for the home.",basketry,sisal,Rutsiro,21000,ART-045,True
RW-0363,ceramic serving bowl,"Large ceramic serving bowl glazed with earth-toned colours, food-safe finish.",home-decor,ceramic,Nyagatare,22000,ART-006,True
RW-0253,wood necklace Rwandan design,Statement wood necklace with pendant inspired by traditional Rwandan royal jewellery.,jewellery,wood,Rusizi,11000,ART-007,True
RW-0076,kitenge fabric trousers tailored,Custom-tailored kitenge fabric trousers with a comfortable fit and African-inspired details.,apparel,kitenge-fabric,Nyamasheke,7000,ART-048,True
RW-0390,recycled glass incense burner,Artisan recycled glass incense burner with ventilation slots and ash catcher tray.,home-decor,recycled-glass,Gicumbi,9500,ART-026,True
RW-0018,silk blazer Kigali style,Modern silk blazer blending contemporary Kigali fashion with traditional textiles.,apparel,silk,Nyagatare,30500,ART-006,True
RW-0195,Agaseke peace basket sweetgrass,"Traditional Rwandan agaseke peace basket woven from sweetgrass, symbolising unity and reconciliation.",basketry,sweetgrass,Kayonza,21000,ART-005,True
RW-0174,papyrus wall hanging decorative,Decorative papyrus wall hanging with geometric Imigongo-inspired patterns.,basketry,papyrus,Kayonza,3000,ART-038,True
RW-0260,wood brooch traditional,Traditional-style wood brooch with Imigongo pattern inlay.,jewellery,wood,Rwamagana,4000,ART-040,True
RW-0069,linen skirt with embroidery,Flowing linen skirt with hand-stitched embroidery from local artisans.,apparel,linen,Rutsiro,19000,ART-060,True
RW-0262,brass earrings drop style,"Elegant drop-style brass earrings, lightweight and handcrafted.",jewellery,brass,Bugesera,15000,ART-039,True
RW-0028,ankara fabric skirt with embroidery,Flowing ankara fabric skirt with hand-stitched embroidery from local artisans.,apparel,ankara-fabric,Musanze,33000,ART-066,True
RW-0109,vegetable tanned leather keychain set,"Set of three vegetable tanned leather keychains with hand-stamped initials, great as gifts.",leather,vegetable-tanned-leather,Bugesera,80000,ART-039,True
RW-0225,sisal storage basket large,"Large sisal storage basket with lid, handwoven by women's cooperative artisans.",basketry,sisal,Gasabo,22500,ART-036,True
RW-0185,raffia wine bottle holder,"Unique raffia wine bottle holder, a conversation starter and perfect gift.",basketry,raffia,Kayonza,23500,ART-038,True
RW-0057,Handwoven ankara fabric scarf,Soft handwoven ankara fabric scarf with intricate patterns inspired by Rwandan hill landscapes.,apparel,ankara-fabric,Kayonza,37000,ART-080,True
RW-0376,banana bark coasters set of 6,Set of six banana bark coasters with protective felt backing and cultural patterns.,home-decor,banana-bark,Kayonza,29500,ART-079,True
RW-0395,wood wall art Imigongo,"Imigongo-style wood wall art panel, traditional cow-dung painting technique.",home-decor,wood,Bugesera,34500,ART-047,True
RW-0230,banana leaf wine bottle holder,"Unique banana leaf wine bottle holder, a conversation starter and perfect gift.",basketry,banana-leaf,Kicukiro,27500,ART-059,True
RW-0006,Handwoven cotton scarf,Soft handwoven cotton scarf with intricate patterns inspired by Rwandan hill landscapes.,apparel,cotton,Nyarugenge,29000,ART-043,True
RW-0316,recycled metal earrings drop style,"Elegant drop-style recycled metal earrings, lightweight and handcrafted.",jewellery,recycled-metal,Rusizi,32500,ART-044,True
RW-0237,sisal fruit bowl,"Elegant sisal fruit bowl woven with natural dyes, a functional art piece for the home.",basketry,sisal,Kirehe,29000,ART-046,True
RW-0165,sweetgrass storage basket large,"Large sweetgrass storage basket with lid, handwoven by women's cooperative artisans.",basketry,sweetgrass,Gasabo,26000,ART-011,True
RW-0284,silver necklace Rwandan design,Statement silver necklace with pendant inspired by traditional Rwandan royal jewellery.,jewellery,silver,Bugesera,41500,ART-023,True
RW-0189,banana leaf tray woven,"Flat woven banana leaf tray, ideal for serving or as a centrepiece, with zigzag pattern.",basketry,banana-leaf,Gasabo,31000,ART-016,True
RW-0070,Handwoven kitenge fabric scarf,Soft handwoven kitenge fabric scarf with intricate patterns inspired by Rwandan hill landscapes.,apparel,kitenge-fabric,Nyagatare,41500,ART-078,True
RW-0188,sisal wine bottle holder,"Unique sisal wine bottle holder, a conversation starter and perfect gift.",basketry,sisal,Nyabihu,2500,ART-051,True
RW-0309,recycled metal bracelet layered,"Layered recycled metal bracelet set with adjustable clasp, great for stacking.",jewellery,recycled-metal,Rwamagana,43000,ART-040,True
RW-0232,raffia wall hanging decorative,Decorative raffia wall hanging with geometric Imigongo-inspired patterns.,basketry,raffia,Kayonza,25500,ART-033,True
RW-0234,sisal wine bottle holder,"Unique sisal wine bottle holder, a conversation starter and perfect gift.",basketry,sisal,Gasabo,7500,ART-011,True
RW-0281,silver cufflinks artisan,"Handmade silver cufflinks with subtle Rwandan motifs, perfect for formal wear.",jewellery,silver,Rusizi,16500,ART-019,True
RW-0275,brass earrings drop style,"Elegant drop-style brass earrings, lightweight and handcrafted.",jewellery,brass,Nyarugenge,39000,ART-056,True
RW-0102,Handmade cow leather boots,"Durable handmade cow leather boots crafted by Kigali leatherworkers, built for comfort and longevity.",leather,cow-leather,Kayonza,41000,ART-074,True
RW-0294,wood anklet with charms,wood anklet featuring small charms inspired by Lake Kivu waves.,jewellery,wood,Huye,31000,ART-050,True
RW-0199,papyrus placemat set of 4,"Set of four papyrus placemats with coordinated colour patterns, handwoven.",basketry,papyrus,Kirehe,28500,ART-020,True
RW-0184,banana leaf wine bottle holder,"Unique banana leaf wine bottle holder, a conversation starter and perfect gift.",basketry,banana-leaf,Musanze,18000,ART-022,True
RW-0361,wood wall art Imigongo,"Imigongo-style wood wall art panel, traditional cow-dung painting technique.",home-decor,wood,Nyamasheke,47500,ART-009,True
RW-0200,sisal wine bottle holder,"Unique sisal wine bottle holder, a conversation starter and perfect gift.",basketry,sisal,Musanze,28000,ART-063,True
RW-0115,goat leather sandals Nyamirambo style,"Open-toe goat leather sandals inspired by Nyamirambo street style, hand-cut soles.",leather,goat-leather,Kayonza,63000,ART-037,True
RW-0089,goat leather keychain set,"Set of three goat leather keychains with hand-stamped initials, great as gifts.",leather,goat-leather,Musanze,62000,ART-063,True
RW-0027,ankara fabric headwrap igitenge,"Vibrant ankara fabric headwrap (igitenge) in bold colours, a staple of Rwandan fashion.",apparel,ankara-fabric,Rutsiro,31000,ART-060,True
RW-0219,Agaseke peace basket papyrus,"Traditional Rwandan agaseke peace basket woven from papyrus, symbolising unity and reconciliation.",basketry,papyrus,Rwamagana,34000,ART-058,True
RW-0216,sweetgrass wall hanging decorative,Decorative sweetgrass wall hanging with geometric Imigongo-inspired patterns.,basketry,sweetgrass,Rusizi,10000,ART-007,True
RW-0236,Agaseke peace basket papyrus,"Traditional Rwandan agaseke peace basket woven from papyrus, symbolising unity and reconciliation.",basketry,papyrus,Gakenke,23000,ART-076,True
RW-0120,recycled leather keychain set,"Set of three recycled leather keychains with hand-stamped initials, great as gifts.",leather,recycled-leather,Gasabo,64500,ART-016,True
RW-0169,raffia wall hanging decorative,Decorative raffia wall hanging with geometric Imigongo-inspired patterns.,basketry,raffia,Gasabo,12000,ART-070,True
RW-0154,cow leather keychain set,"Set of three cow leather keychains with hand-stamped initials, great as gifts.",leather,cow-leather,Huye,23000,ART-002,True
RW-0291,brass bracelet layered,"Layered brass bracelet set with adjustable clasp, great for stacking.",jewellery,brass,Rutsiro,30000,ART-060,True
RW-0140,vegetable tanned leather handbag artisan,Artisan-made vegetable tanned leather handbag with hand-stitched seams and brass buckle closure.,leather,vegetable-tanned-leather,Huye,19500,ART-029,True
RW-0032,silk dress with African print,"Elegant silk dress featuring hand-dyed African prints, perfect for formal and casual occasions.",apparel,silk,Nyagatare,18500,ART-006,True
RW-0331,banana bark incense burner,Artisan banana bark incense burner with ventilation slots and ash catcher tray.,home-decor,banana-bark,Nyamasheke,37000,ART-048,True
RW-0224,sisal wall hanging decorative,Decorative sisal wall hanging with geometric Imigongo-inspired patterns.,basketry,sisal,Nyagatare,11000,ART-078,True
RW-0062,silk baby outfit set,"Adorable silk baby clothing set with soft Rwandan-printed fabric, safe for infants.",apparel,silk,Rusizi,24500,ART-042,True
RW-0172,banana leaf storage basket large,"Large banana leaf storage basket with lid, handwoven by women's cooperative artisans.",basketry,banana-leaf,Huye,32500,ART-050,True
RW-0167,papyrus storage basket large,"Large papyrus storage basket with lid, handwoven by women's cooperative artisans.",basketry,papyrus,Nyarugenge,31500,ART-030,True
RW-0091,vegetable tanned leather belt with brass buckle,"Classic vegetable tanned leather belt featuring a locally forged brass buckle, adjustable sizing.",leather,vegetable-tanned-leather,Rwamagana,79000,ART-040,True
RW-0343,wood wall art Imigongo,"Imigongo-style wood wall art panel, traditional cow-dung painting technique.",home-decor,wood,Nyabihu,48500,ART-071,True
RW-0118,goat leather wallet minimalist,"Slim minimalist goat leather wallet with card slots and coin pocket, hand-finished edges.",leather,goat-leather,Rwamagana,23000,ART-035,True
RW-0045,cotton blazer Kigali style,Modern cotton blazer blending contemporary Kigali fashion with traditional textiles.,apparel,cotton,Gakenke,20000,ART-031,True
RW-0367,ceramic coasters set of 6,Set of six ceramic coasters with protective felt backing and cultural patterns.,home-decor,ceramic,Nyarugenge,58500,ART-056,True
RW-0097,goat leather belt with brass buckle,"Classic goat leather belt featuring a locally forged brass buckle, adjustable sizing.",leather,goat-leather,Gasabo,40000,ART-062,True
RW-0159,cow leather belt with brass buckle,"Classic cow leather belt featuring a locally forged brass buckle, adjustable sizing.",leather,cow-leather,Kayonza,34000,ART-037,True
RW-0323,clay coasters set of 6,Set of six clay coasters with protective felt backing and cultural patterns.,home-decor,clay,Gakenke,30000,ART-031,True
RW-0285,cow horn ring geometric,"Geometric cow horn ring with clean lines, available in multiple sizes.",jewellery,cow-horn,Muhanga,50000,ART-073,True
RW-0054,linen skirt with embroidery,Flowing linen skirt with hand-stitched embroidery from local artisans.,apparel,linen,Musanze,17000,ART-063,True
RW-0203,sisal placemat set of 4,"Set of four sisal placemats with coordinated colour patterns, handwoven.",basketry,sisal,Nyamasheke,24500,ART-048,True
RW-0198,banana leaf placemat set of 4,"Set of four banana leaf placemats with coordinated colour patterns, handwoven.",basketry,banana-leaf,Gasabo,28500,ART-070,True
RW-0358,recycled glass wall art Imigongo,"Imigongo-style recycled glass wall art panel, traditional cow-dung painting technique.",home-decor,recycled-glass,Nyagatare,24500,ART-006,True
RW-0121,recycled leather journal cover,"Beautiful recycled leather journal cover with embossed Rwandan patterns, refillable insert.",leather,recycled-leather,Rwamagana,69000,ART-035,True
RW-0396,wood candle holder set,Set of three wood candle holders with carved geometric patterns.,home-decor,wood,Gicumbi,52500,ART-026,True
